/home/shashwat/per-zone-uveitis/.venv/lib/python3.13/site-packages/torch/cuda/__init__.py:187: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 12020). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
Device: cpu
Loss: focal class_weighting=inverse
Split: {"train": [11, 12, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29, 33, 34, 36, 37, 38, 40, 43, 44, 45, 47, 48, 49, 52, 54, 55, 56, 57, 59, 61, 63, 64, 65, 66, 67, 68, 70, 71, 72, 74, 75, 76, 78, 79, 81, 83, 84, 85, 86, 88, 89, 90, 91, 93, 95, 97], "val": [16, 25, 31, 39, 41, 46, 50, 58, 60, 62, 77, 92, 98], "test": [10, 14, 28, 30, 35, 42, 69, 73, 80, 82, 87, 96, 99]}
epoch=001 train_loss=0.1818 val_loss=0.1990 val_macro_f1=0.4318 val_bal_acc=0.4743
epoch=002 train_loss=0.1714 val_loss=0.1992 val_macro_f1=0.4748 val_bal_acc=0.4753
epoch=003 train_loss=0.1671 val_loss=0.1959 val_macro_f1=0.4718 val_bal_acc=0.4725
epoch=004 train_loss=0.1783 val_loss=0.1732 val_macro_f1=0.3213 val_bal_acc=0.5000
epoch=005 train_loss=0.1747 val_loss=0.1730 val_macro_f1=0.3213 val_bal_acc=0.5000
epoch=006 train_loss=0.1727 val_loss=0.1729 val_macro_f1=0.3213 val_bal_acc=0.5000
epoch=007 train_loss=0.1737 val_loss=0.1726 val_macro_f1=0.3213 val_bal_acc=0.5000
epoch=008 train_loss=0.1738 val_loss=0.1728 val_macro_f1=0.3449 val_bal_acc=0.5000
epoch=009 train_loss=0.1731 val_loss=0.1732 val_macro_f1=0.3449 val_bal_acc=0.5000
epoch=010 train_loss=0.1738 val_loss=0.1733 val_macro_f1=0.3213 val_bal_acc=0.5000
epoch=011 train_loss=0.1737 val_loss=0.1728 val_macro_f1=0.3449 val_bal_acc=0.5000
epoch=012 train_loss=0.1732 val_loss=0.1736 val_macro_f1=0.3449 val_bal_acc=0.5000
epoch=013 train_loss=0.1735 val_loss=0.1728 val_macro_f1=0.3213 val_bal_acc=0.5000
epoch=014 train_loss=0.1731 val_loss=0.1727 val_macro_f1=0.3213 val_bal_acc=0.5000
epoch=015 train_loss=0.1730 val_loss=0.1731 val_macro_f1=0.3449 val_bal_acc=0.5000
epoch=016 train_loss=0.1729 val_loss=0.1730 val_macro_f1=0.3449 val_bal_acc=0.5000
epoch=017 train_loss=0.1730 val_loss=0.1742 val_macro_f1=0.3449 val_bal_acc=0.5000
epoch=018 train_loss=0.1733 val_loss=0.1729 val_macro_f1=0.3449 val_bal_acc=0.5000
epoch=019 train_loss=0.1727 val_loss=0.1733 val_macro_f1=0.3213 val_bal_acc=0.5000
epoch=020 train_loss=0.1731 val_loss=0.1727 val_macro_f1=0.3449 val_bal_acc=0.5000
epoch=021 train_loss=0.1730 val_loss=0.1726 val_macro_f1=0.3213 val_bal_acc=0.5000
epoch=022 train_loss=0.1728 val_loss=0.1727 val_macro_f1=0.3213 val_bal_acc=0.5000
epoch=023 train_loss=0.1728 val_loss=0.1727 val_macro_f1=0.3449 val_bal_acc=0.5000
epoch=024 train_loss=0.1728 val_loss=0.1730 val_macro_f1=0.3449 val_bal_acc=0.5000
epoch=025 train_loss=0.1727 val_loss=0.1726 val_macro_f1=0.3213 val_bal_acc=0.5000
epoch=026 train_loss=0.1727 val_loss=0.1728 val_macro_f1=0.3449 val_bal_acc=0.5000
epoch=027 train_loss=0.1728 val_loss=0.1727 val_macro_f1=0.3449 val_bal_acc=0.5000
epoch=028 train_loss=0.1726 val_loss=0.1731 val_macro_f1=0.3449 val_bal_acc=0.5000
