2026-05-27 17:41:03,659 INFO    MainThread:749263 [wandb_setup.py:_flush():81] Current SDK version is 0.26.1
2026-05-27 17:41:03,660 INFO    MainThread:749263 [wandb_setup.py:_flush():81] Configure stats pid to 749263
2026-05-27 17:41:03,660 INFO    MainThread:749263 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-05-27 17:41:03,660 INFO    MainThread:749263 [wandb_init.py:setup_run_log_directory():723] Logging user logs to /home/shashwat/per-zone-uveitis/wandb/run-20260527_174103-00dkdj77/logs/debug.log
2026-05-27 17:41:03,660 INFO    MainThread:749263 [wandb_init.py:setup_run_log_directory():724] Logging internal logs to /home/shashwat/per-zone-uveitis/wandb/run-20260527_174103-00dkdj77/logs/debug-internal.log
2026-05-27 17:41:03,660 INFO    MainThread:749263 [wandb_init.py:init():850] calling init triggers
2026-05-27 17:41:03,660 INFO    MainThread:749263 [wandb_init.py:init():855] wandb.init called with sweep_config: {}
config: {'csv': 'processed_image_arrays/zone_training_table.csv', 'data_root': 'processed_image_arrays', 'output_dir': 'runs/protocol_r03_convnext_focal', 'split_json': '/home/shashwat/per-zone-uveitis/splits/canonical_split.json', 'loss': 'focal', 'class_weighting': 'inverse', 'focal_gamma': 2.0, 'num_classes': 2, 'epochs': 20, 'batch_size': 32, 'lr': 0.0001, 'weight_decay': 0.0001, 'num_workers': 8, 'image_size': 288, 'seed': 13, 'split_attempts': 10000, 'zone_embed_dim': 64, 'head_hidden': 256, 'patience': 8, 'grad_clip_norm': 1.0, 'no_pretrained': False, 'no_amp': False, 'wandb_project': 'uveitis-per-zone', 'wandb_run_name': 'protocol_r03_convnext_focal', 'no_wandb': False, 'soft_labels': False, '_wandb': {}}
2026-05-27 17:41:03,660 INFO    MainThread:749263 [wandb_init.py:init():898] starting backend
2026-05-27 17:41:03,900 INFO    MainThread:749263 [wandb_init.py:init():913] sending inform_init request
2026-05-27 17:41:04,126 INFO    MainThread:749263 [wandb_init.py:init():918] backend started and connected
2026-05-27 17:41:04,137 INFO    MainThread:749263 [wandb_init.py:init():988] updated telemetry
2026-05-27 17:41:04,141 INFO    MainThread:749263 [wandb_init.py:init():1011] communicating run to backend with 90.0 second timeout
2026-05-27 17:41:04,407 INFO    MainThread:749263 [wandb_init.py:init():1056] starting run threads in backend
2026-05-27 17:41:04,453 INFO    MainThread:749263 [wandb_run.py:_console_start():2554] atexit reg
2026-05-27 17:41:04,453 INFO    MainThread:749263 [wandb_run.py:_redirect():2403] redirect: wrap_raw
2026-05-27 17:41:04,453 INFO    MainThread:749263 [wandb_run.py:_redirect():2472] Wrapping output streams.
2026-05-27 17:41:04,453 INFO    MainThread:749263 [wandb_run.py:_redirect():2495] Redirects installed.
2026-05-27 17:41:04,455 INFO    MainThread:749263 [wandb_init.py:init():1094] run started, returning control to user process
